ID_LUOGO,ID_NAZIONE,DENOMINAZIONE,STATO,TIPO_LUOGO,COD_MF,ID_LUOGO_NUOVO,ID_PROVINCIA,COD_ISTAT,CAP,COD_CATASTALE,DT_INIZIO_VALIDITA,DT_FINE_VALIDITA,DT_INSERIMENTO,DT_AGGIORNAMENTO,ID_LUOGO_FONTE,FLAG_CERTIFICATO
646,100,ROVOLON,0,ITA,H622,646,28,028071,35698,H622,1900-01-01,4712-12-31,2000-05-12,2000-05-12,646,N
59396,100,MIRANO,0,ITA,F241,59396,27,027024,30622,F241,1900-01-01,4712-12-31,2000-05-12,2000-05-12,59396,N
59527,100,CONTARINA,1,ITA,C967,59527,29,029016,45093,C967,1938-02-11,1994-12-31,2003-06-04,2003-06-04,59527,N
58888,100,GRANCONA,1,ITA,E138,58888,24,024045,36957,E138,1900-01-01,2017-03-21,2017-05-17,2017-05-17,58888,N
58952,100,BREGANZE,0,ITA,B132,58952,24,024014,36632,B132,1900-01-01,4712-12-31,2000-05-12,2000-05-12,58952,N
48261,100,SANTA GIUSTINA IN COLLE,0,ITA,I207,48261,28,028080,35681,I207,1900-01-01,4712-12-31,2000-05-12,2000-05-12,48261,N
48328,100,MASERA' DI PADOVA,0,ITA,F011,48328,28,028048,35862,F011,1900-01-01,4712-12-31,2000-05-12,2000-05-12,48328,N
48389,100,CAMPODARSEGO,0,ITA,B524,48389,28,028017,35764,B524,1900-01-01,4712-12-31,2000-05-12,2000-05-12,48389,N
48522,100,VALEGGIO SUL MINCIO,0,ITA,L567,48522,23,023089,37854,L567,1900-01-01,4712-12-31,2000-05-12,2000-05-12,48522,N
48523,100,PORTOBUFFOLE',1,ITA,G909,48523,26,026060,31649,G909,1900-01-01,2006-02-05,2006-02-06,2006-02-06,48523,N
47877,100,CASALEONE,0,ITA,B886,47877,23,023019,37527,B886,1900-01-01,4712-12-31,2000-05-12,2000-05-12,47877,N
48137,100,NOGAROLE ROCCA,0,ITA,F921,48137,23,023054,37036,F921,1900-01-01,4712-12-31,2000-05-12,2000-05-12,48137,N
48198,100,CAVAION VERONESE,0,ITA,C370,48198,23,023023,37646,C370,1900-01-01,4712-12-31,2000-05-12,2000-05-12,48198,N
48199,100,PEDEROBBA,0,ITA,G408,48199,26,026056,31378,G408,1900-01-01,4712-12-31,2000-05-12,2000-05-12,48199,N
47561,100,GAZZO,0,ITA,D956,47561,28,028041,35448,D956,1900-01-01,4712-12-31,2000-05-12,2000-05-12,47561,N
47753,100,SOMMACAMPAGNA,0,ITA,I821,47753,23,023082,37540,I821,1900-01-01,4712-12-31,2000-05-12,2000-05-12,47753,N
47819,100,TARZO,0,ITA,L058,47819,26,026084,31808,L058,1900-01-01,4712-12-31,2000-05-12,2000-05-12,47819,N
47049,100,LAZISE,0,ITA,E502,47049,23,023043,37110,E502,1900-01-01,4712-12-31,2000-05-12,2000-05-12,47049,N
47111,100,BOVOLONE,0,ITA,B107,47111,23,023012,37699,B107,1900-01-01,4712-12-31,2000-05-12,2000-05-12,47111,N
47112,100,MONFUMO,0,ITA,F360,47112,26,026045,31467,F360,1900-01-01,4712-12-31,2000-05-12,2000-05-12,47112,N
47171,100,CAVASO DEL TOMBA,0,ITA,C384,47171,26,026014,31615,C384,1900-01-01,4712-12-31,2000-05-12,2000-05-12,47171,N
47240,100,ESTE,0,ITA,D442,47240,28,028037,35814,D442,1900-01-01,4712-12-31,2000-05-12,2000-05-12,47240,N
47304,100,ARRE,0,ITA,A438,47304,28,028006,35288,A438,1900-01-01,4712-12-31,2000-05-12,2000-05-12,47304,N
46790,100,BEVILACQUA,0,ITA,A837,46790,23,023008,37947,A837,1900-01-01,4712-12-31,2000-05-12,2000-05-12,46790,N
46278,100,VAS,1,ITA,L692,46278,25,025064,32387,L692,1900-01-01,2013-12-27,2000-05-12,2000-05-12,46278,N
46342,100,LOZZO DI CADORE,0,ITA,E708,46342,25,025033,32996,E708,1900-01-01,4712-12-31,2000-05-12,2000-05-12,46342,N
46471,100,CERVARESE SANTA CROCE,0,ITA,C544,46471,28,028030,35753,C544,1900-01-01,4712-12-31,2000-05-12,2000-05-12,46471,N
51910,100,CHIAMPO,0,ITA,C605,51910,24,024029,36433,C605,1900-01-01,4712-12-31,2000-05-12,2000-05-12,51910,N
51082,100,LUGO DI VICENZA,0,ITA,E731,51082,24,024053,36454,E731,1900-01-01,4712-12-31,2000-05-12,2000-05-12,51082,N
