ID_DATI_TECNICI,ID_OPERAZIONE,ID_FONTE,ID_TIPO_EVENTO,ID_VEICOLO,DATA_DECORRENZA,DATA_CANCELLAZIONE,TARGA,SCADENZA_ATTRIBUITA,TRASPORTO_MERCI,MASSA_COMPLESSIVA,KILO_WATT,PORTATA,FLAG_SOSPENSIONE,NUMERO_POSTI,NUMERO_ASSI,POTENZA_FISCALE,CILINDRATA,FLAG_ECODIESEL,FLAG_GANCIO,MASSA_RIMORCHIABILE,ID_TIPO_COMBUSTIBILE,ID_DESTINAZIONE_VEICOLO,ID_TIPO_CARROZZERIA,ID_TIPO_USO,FLAG_RIMORCHIABILITA,ID_CATEGORIA_EURO,EMISSIONE_CO2,DATA_INSTAL_GPL,DATA_DISINSTAL_GPL,DATA_COLLAUDO_GPL,ID_TIPO_COMBUSTIBILE_GAS,ID_ENTE_CERTIFICATORE_STORICO,COD_ISCRIZ_REGIST_VEIC_STORICO
500000,940000000000000,1,1,300000,2021-05-08,,MW484ZZ,5,N,16215,81,2609,N,6,4,31,2824,N,N,2423,1,1,1,1,N,4,96,,,,2,1,STOR000000
500001,940000000000001,2,2,300001,2020-06-09,,LE151UZ,5,N,16387,106,1494,N,9,3,27,2508,N,N,917,3,2,2,2,S,6,222,,,,,,
500002,940000000000002,3,3,300002,2021-01-04,,DY744XL,7,N,4248,127,493,N,9,4,19,2997,N,S,2180,1,3,3,3,N,6,194,,,,,,
500003,940000000000003,1,4,300003,2018-05-07,,AP578VX,10,N,17905,160,2672,N,2,3,22,1028,S,N,1089,2,4,4,4,N,5,216,,,,,,
500004,940000000000004,2,5,300004,2021-02-18,,PR238KZ,8,N,7335,114,2194,N,3,2,21,2809,S,S,921,4,5,5,5,N,5,213,,,,,,
500005,940000000000005,3,1,300005,2023-12-13,,PY988HS,8,N,1098,51,1223,N,2,4,19,1433,N,N,1555,3,6,6,1,S,6,160,,,,,,
500006,940000000000006,1,2,300006,2024-03-14,,TN997UN,9,N,7103,200,1580,N,6,2,15,2689,S,N,1114,3,1,7,2,N,6,125,,,,,,
500007,940000000000007,2,3,300007,2025-10-16,,FA742JC,11,N,2189,64,2715,N,8,3,9,2920,N,N,1926,3,2,8,3,S,5,239,,,,,,
500008,940000000000008,3,4,300008,2019-04-23,,JE890RV,7,N,2343,108,189,N,4,1,16,1417,N,N,1740,3,3,1,4,N,6,140,,,,,,
500009,940000000000009,1,5,300009,2023-10-02,,TV266RJ,11,N,8953,205,1187,N,8,2,8,1823,N,N,2437,4,4,2,5,N,5,96,,,,2,,
500010,940000000000010,2,1,300010,2020-08-27,,LM087PS,9,N,2098,80,2191,N,3,1,23,1366,S,N,1467,3,5,3,1,S,3,146,,,,,,
500011,940000000000011,3,2,300011,2018-02-22,,UE341GG,3,N,2284,120,781,N,7,2,23,1646,N,S,1783,1,6,4,2,N,5,101,,,,,,
500012,940000000000012,1,3,300012,2019-09-08,,HA675HN,8,N,15992,136,808,N,8,2,15,2196,N,S,879,4,1,5,3,S,6,146,,,,,,
500013,940000000000013,2,4,300013,2023-08-16,,ZN425FB,11,N,1695,87,2099,N,2,3,15,2102,N,N,2078,4,2,6,4,S,5,200,,,,,,
500014,940000000000014,3,5,300014,2021-03-27,,LX623VZ,1,N,2678,71,2636,N,9,3,13,2026,N,S,2071,2,3,7,5,N,5,146,,,,,,
500015,940000000000015,1,1,300015,2019-10-10,,YS263HD,12,N,12026,102,676,N,6,2,9,1164,S,S,1148,4,4,8,1,N,5,91,,,,,,
500016,940000000000016,2,2,300016,2023-04-28,,YH456DN,10,N,9304,119,1548,N,4,3,16,1343,N,S,1105,2,5,1,2,N,5,200,,,,,,
500017,940000000000017,3,3,300017,2023-05-03,,VS792RG,9,S,7917,168,686,N,4,3,8,1214,N,N,2000,4,6,2,3,N,4,130,,,,,1,STOR000017
500018,940000000000018,1,4,300018,2023-01-12,,SF884YY,4,N,4320,68,1114,N,3,2,29,2567,N,N,688,2,1,3,4,N,4,207,,,,2,,
500019,940000000000019,2,5,300019,2021-02-28,,HZ433KN,11,N,1271,117,1535,N,7,2,10,1717,S,N,676,4,2,4,5,N,5,110,,,,,,
500020,940000000000020,3,1,300020,2020-12-21,,PK560DZ,10,N,1002,126,1237,N,5,2,36,2827,N,N,2172,3,3,5,1,N,6,117,,,,,,
500021,940000000000021,1,2,300021,2023-11-20,,AF170YP,3,N,3843,171,2067,N,7,4,23,1929,S,N,1254,3,4,6,2,N,4,88,,,,,,
500022,940000000000022,2,3,300022,2018-01-27,,JG588NK,2,N,3005,95,576,N,7,1,25,2642,S,S,1729,1,5,7,3,S,6,144,,,,,,
500023,940000000000023,3,4,300023,2020-02-02,,LF008DA,5,N,1267,84,1991,N,3,3,35,2000,N,N,2489,4,6,8,4,S,6,94,,,,,,
500024,940000000000024,1,5,300024,2024-07-31,,CA681ES,2,N,9692,72,569,N,3,3,11,1343,S,S,1784,1,1,1,5,N,6,229,,,,,,
500025,940000000000025,2,1,300025,2025-03-10,,UM364EW,11,N,2239,217,1368,N,8,3,32,2496,N,S,2107,1,2,2,1,S,6,168,,,,,,
500026,940000000000026,3,2,300026,2024-05-13,,RT421AR,6,N,1818,105,1326,N,5,3,14,994,N,S,1622,1,3,3,2,N,6,111,,,,,,
500027,940000000000027,1,3,300027,2019-05-12,,YJ018EV,12,N,11457,87,1511,N,7,4,30,1645,S,N,1241,2,4,4,3,N,3,131,,,,2,,
500028,940000000000028,2,4,300028,2022-01-09,,LB466EJ,4,N,1352,69,1022,N,7,3,35,1191,S,N,2229,3,5,5,4,N,5,91,,,,,,
500029,940000000000029,3,5,300029,2025-12-08,,FP940DS,12,N,2959,218,322,N,8,1,13,1434,S,S,1904,1,6,6,5,S,6,148,,,,,,
500030,940000000000030,1,1,300030,2024-06-29,,UV784LD,6,N,918,120,1429,N,8,1,14,2115,N,S,1289,3,1,7,1,N,3,175,,,,,,
500031,940000000000031,2,2,300031,2021-01-08,,HE784KX,11,N,2537,71,2164,N,2,2,21,1651,N,S,887,1,2,8,2,S,5,98,,,,,,
500032,940000000000032,3,3,300032,2022-09-15,,LH559BZ,6,N,2077,100,1394,N,3,1,33,1298,S,S,1645,4,3,1,3,S,4,214,,,,,,
500033,940000000000033,1,4,300033,2020-03-15,,AM787VR,6,N,3669,91,550,N,6,4,33,2114,N,N,2078,3,4,2,4,S,4,162,,,,,,
500034,940000000000034,2,5,300034,2021-07-27,,JG148PP,10,N,1098,69,170,N,2,2,25,1428,S,N,752,3,5,3,5,N,5,191,,,,,1,STOR000034
500035,940000000000035,3,1,300035,2024-11-21,,YJ926DB,12,N,980,216,1430,N,6,4,31,2892,N,S,1011,4,6,4,1,S,5,124,,,,,,
500036,940000000000036,1,2,300036,2025-12-26,,LC529PB,9,N,2960,108,478,N,8,3,17,2603,N,N,874,3,1,5,2,S,4,69,,,,2,,
500037,940000000000037,2,3,300037,2020-10-13,,DV125FH,11,N,1009,134,1473,N,3,2,15,2678,S,N,2286,1,2,6,3,N,5,77,,,,,,
500038,940000000000038,3,4,300038,2021-05-11,,EE250HN,7,N,3353,107,437,N,9,1,22,2471,N,S,2388,4,3,7,4,S,4,123,,,,,,
500039,940000000000039,1,5,300039,2018-10-05,,NE146KV,6,N,3358,121,2429,N,4,2,19,1978,S,S,2113,2,4,8,5,S,4,102,,,,,,
500040,940000000000040,2,1,300040,2025-06-10,,WT037CM,11,N,3389,115,697,N,5,2,8,2800,N,S,1357,2,5,1,1,N,6,130,,,,,,
500041,940000000000041,3,2,300041,2023-08-09,,TK124BC,7,N,3375,112,1115,N,8,2,8,1481,N,N,1982,4,6,2,2,S,6,163,,,,,,
500042,940000000000042,1,3,300042,2020-09-30,,PC527WW,3,N,10475,134,1106,N,3,2,20,2866,N,N,2459,2,1,3,3,S,3,191,,,,,,
500043,940000000000043,2,4,300043,2020-08-18,,MZ790LJ,12,N,1450,212,1749,N,5,3,13,1793,S,S,2268,3,2,4,4,S,4,124,,,,,,
500044,940000000000044,3,5,300044,2018-10-25,,EL867DA,2,N,3237,170,256,N,4,4,12,1810,S,N,2200,3,3,5,5,N,4,95,,,,,,
500045,940000000000045,1,1,300045,2024-11-29,,AC105AL,2,N,1404,88,2890,N,2,2,12,2600,S,N,1250,3,4,6,1,S,5,154,,,,2,,
500046,940000000000046,2,2,300046,2019-01-27,,EK085XF,12,N,3094,59,2016,N,6,2,24,2565,N,S,1171,3,5,7,2,N,3,167,,,,,,
500047,940000000000047,3,3,300047,2020-09-27,,DH832UC,2,N,13614,98,1945,N,4,3,19,2363,S,S,2122,3,6,8,3,S,3,136,,,,,,
