ID_POSIZIONE,ID_OPERAZIONE,ID_TIPO_EVENTO,ID_FONTE,ID_PROPRIETARIO,ID_VEICOLO,DATA_DECORRENZA,DATA_CANCELLAZIONE,ID_REGIONE
400000,930000000000000,1,1,100124,300000,2022-09-06,,5
400001,930000000000001,2,2,100252,300001,2021-07-25,,5
400002,930000000000002,3,3,100105,300002,2019-03-19,,5
400003,930000000000003,4,1,100278,300003,2023-10-19,,5
400004,930000000000004,1,2,100223,300004,2023-11-03,,5
400005,930000000000005,2,3,100466,300005,2020-04-12,,5
400006,930000000000006,3,1,100455,300006,2019-12-24,,5
400007,930000000000007,4,2,100459,300007,2022-02-13,,5
400008,930000000000008,1,3,100391,300008,2025-10-02,,5
400009,930000000000009,2,1,100220,300009,2022-08-08,,5
400010,930000000000010,3,2,100264,300010,2021-12-10,,5
400011,930000000000011,4,3,100344,300011,2023-05-05,,5
400012,930000000000012,1,1,100320,300012,2020-09-26,,5
400013,930000000000013,2,2,100202,300013,2020-08-26,,5
400014,930000000000014,3,3,100394,300014,2023-02-15,,5
400015,930000000000015,4,1,100201,300015,2020-07-19,,5
400016,930000000000016,1,2,100111,300016,2018-12-09,,5
400017,930000000000017,2,3,100381,300017,2018-10-31,,5
400018,930000000000018,3,1,100014,300018,2021-05-11,,5
400019,930000000000019,4,2,100078,300019,2021-05-02,,5
400020,930000000000020,1,3,100197,300020,2023-09-21,,5
400021,930000000000021,2,1,100083,300021,2020-08-04,,5
400022,930000000000022,3,2,100370,300022,2021-11-13,,5
400023,930000000000023,4,3,100220,300023,2024-10-02,,5
400024,930000000000024,1,1,100454,300024,2022-08-17,,5
400025,930000000000025,2,2,100382,300025,2021-07-17,,5
400026,930000000000026,3,3,100028,300026,2023-06-13,,5
400027,930000000000027,4,1,100376,300027,2022-06-23,,5
400028,930000000000028,1,2,100145,300028,2022-04-23,,5
400029,930000000000029,2,3,100240,300029,2021-02-14,,5
400030,930000000000030,3,1,100056,300030,2021-09-23,,5
400031,930000000000031,4,2,100390,300031,2023-09-11,,5
400032,930000000000032,1,3,100152,300032,2023-08-14,,5
400033,930000000000033,2,1,100138,300033,2024-12-17,,5
400034,930000000000034,3,2,100210,300034,2020-04-08,,5
400035,930000000000035,4,3,100078,300035,2018-01-07,,5
400036,930000000000036,1,1,100413,300036,2020-02-23,,5
400037,930000000000037,2,2,100344,300037,2021-11-29,,5
400038,930000000000038,3,3,100106,300038,2019-02-27,,5
400039,930000000000039,4,1,100040,300039,2018-11-04,,5
400040,930000000000040,1,2,100347,300040,2024-11-03,,5
400041,930000000000041,2,3,100393,300041,2019-07-02,,5
400042,930000000000042,3,1,100166,300042,2025-06-03,,5
400043,930000000000043,4,2,100302,300043,2023-01-26,,5
400044,930000000000044,1,3,100189,300044,2022-06-04,,5
400045,930000000000045,2,1,100002,300045,2023-11-14,,5
400046,930000000000046,3,2,100231,300046,2020-12-05,,5
400047,930000000000047,4,3,100140,300047,2020-03-12,,5
400048,930000000000048,1,1,100441,300048,2018-08-23,,5
400049,930000000000049,2,2,100414,300049,2022-06-12,,5
400050,930000000000050,3,3,100373,300050,2024-07-21,,5
400051,930000000000051,4,1,100298,300051,2021-04-26,,5
400052,930000000000052,1,2,100103,300052,2022-05-06,,5
400053,930000000000053,2,3,100008,300053,2024-01-17,,5
400054,930000000000054,3,1,100379,300054,2019-11-18,,5
400055,930000000000055,4,2,100372,300055,2022-04-03,,5
400056,930000000000056,1,3,100306,300056,2025-09-15,,5
400057,930000000000057,2,1,100101,300057,2024-01-13,,5
400058,930000000000058,3,2,100023,300058,2025-04-22,,5
400059,930000000000059,4,3,100195,300059,2021-03-13,,5
400060,930000000000060,1,1,100468,300060,2020-03-29,,5
400061,930000000000061,2,2,100485,300061,2025-11-02,,5
400062,930000000000062,3,3,100228,300062,2022-02-03,,5
400063,930000000000063,4,1,100301,300063,2022-08-13,,5
400064,930000000000064,1,2,100136,300064,2025-07-27,,5
400065,930000000000065,2,3,100309,300065,2019-01-07,,5
400066,930000000000066,3,1,100008,300066,2025-02-21,,5
400067,930000000000067,4,2,100256,300067,2023-06-12,,5
400068,930000000000068,1,3,100023,300068,2019-01-01,,5
400069,930000000000069,2,1,100182,300069,2022-05-15,,5
400070,930000000000070,3,2,100273,300070,2025-02-12,,5
400071,930000000000071,4,3,100337,300071,2023-03-08,,5
400072,930000000000072,1,1,100258,300072,2021-09-04,,5
400073,930000000000073,2,2,100248,300073,2024-06-28,,5
400074,930000000000074,3,3,100070,300074,2025-11-09,,5
400075,930000000000075,4,1,100075,300075,2022-02-14,,5
400076,930000000000076,1,2,100155,300076,2022-06-08,,5
400077,930000000000077,2,3,100396,300077,2019-12-04,,5
400078,930000000000078,3,1,100069,300078,2024-04-24,,5
400079,930000000000079,4,2,100406,300079,2023-04-11,,5
400080,930000000000080,1,3,100142,300080,2019-08-11,,5
400081,930000000000081,2,1,100056,300081,2022-08-25,,5
400082,930000000000082,3,2,100456,300082,2022-12-27,,5
400083,930000000000083,4,3,100028,300083,2020-12-03,,5
400084,930000000000084,1,1,100018,300084,2023-09-08,,5
400085,930000000000085,2,2,100297,300085,2025-11-25,,5
400086,930000000000086,3,3,100371,300086,2019-04-16,,5
400087,930000000000087,4,1,100234,300087,2020-02-19,,5
400088,930000000000088,1,2,100079,300088,2018-10-16,,5
400089,930000000000089,2,3,100438,300089,2021-07-28,,5
400090,930000000000090,3,1,100365,300090,2021-08-22,,5
400091,930000000000091,4,2,100114,300091,2023-05-25,,5
400092,930000000000092,1,3,100401,300092,2023-11-26,,5
400093,930000000000093,2,1,100199,300093,2018-08-02,,5
400094,930000000000094,3,2,100148,300094,2019-09-25,,5
400095,930000000000095,4,3,100151,300095,2021-08-12,,5
400096,930000000000096,1,1,100257,300096,2024-08-23,,5
400097,930000000000097,2,2,100225,300097,2019-07-26,,5
400098,930000000000098,3,3,100112,300098,2025-09-12,,5
400099,930000000000099,4,1,100277,300099,2019-04-29,,5
400100,930000000000100,1,2,100256,300100,2018-04-08,,5
400101,930000000000101,2,3,100310,300101,2018-04-18,,5
400102,930000000000102,3,1,100474,300102,2020-08-16,,5
400103,930000000000103,4,2,100000,300103,2023-08-11,,5
400104,930000000000104,1,3,100380,300104,2022-11-23,,5
400105,930000000000105,2,1,100066,300105,2020-01-07,,5
400106,930000000000106,3,2,100464,300106,2024-11-28,,5
400107,930000000000107,4,3,100173,300107,2024-01-01,,5
400108,930000000000108,1,1,100063,300108,2022-01-14,,5
400109,930000000000109,2,2,100115,300109,2022-03-27,,5
400110,930000000000110,3,3,100058,300110,2021-06-15,,5
400111,930000000000111,4,1,100284,300111,2020-05-18,,5
400112,930000000000112,1,2,100397,300112,2023-11-07,,5
400113,930000000000113,2,3,100494,300113,2022-04-16,,5
400114,930000000000114,3,1,100254,300114,2021-10-12,,5
400115,930000000000115,4,2,100283,300115,2023-05-13,,5
400116,930000000000116,1,3,100277,300116,2025-12-14,,5
400117,930000000000117,2,1,100441,300117,2024-08-06,,5
400118,930000000000118,3,2,100441,300118,2024-08-30,,5
400119,930000000000119,4,3,100262,300119,2022-04-14,,5
400120,930000000000120,1,1,100334,300120,2020-02-19,,5
400121,930000000000121,2,2,100194,300121,2025-03-29,,5
400122,930000000000122,3,3,100041,300122,2021-10-21,,5
400123,930000000000123,4,1,100046,300123,2023-04-26,,5
400124,930000000000124,1,2,100422,300124,2019-12-09,,5
400125,930000000000125,2,3,100008,300125,2025-06-02,,5
400126,930000000000126,3,1,100493,300126,2023-04-29,,5
400127,930000000000127,4,2,100349,300127,2019-12-09,,5
400128,930000000000128,1,3,100429,300128,2020-09-08,,5
400129,930000000000129,2,1,100411,300129,2019-11-01,,5
400130,930000000000130,3,2,100268,300130,2020-09-23,,5
400131,930000000000131,4,3,100299,300131,2022-06-17,,5
400132,930000000000132,1,1,100336,300132,2018-03-22,,5
400133,930000000000133,2,2,100023,300133,2023-04-19,,5
400134,930000000000134,3,3,100470,300134,2023-04-06,,5
400135,930000000000135,4,1,100253,300135,2019-07-12,,5
400136,930000000000136,1,2,100125,300136,2021-04-27,,5
400137,930000000000137,2,3,100368,300137,2023-01-17,,5
400138,930000000000138,3,1,100176,300138,2023-08-12,,5
400139,930000000000139,4,2,100004,300139,2023-12-15,,5
400140,930000000000140,1,3,100367,300140,2025-12-20,,5
