ID_VEICOLO,ID_OPERAZIONE,ID_SUBENTRANTE,DATA_CANCELLAZIONE,TELAIO,ID_TIPO_VEICOLO,DATA_ULTIMA_REVISIONE
300000,920000000000000,,,HS8REFT5F9W9JK39G,2,2022-11-10
300001,920000000000001,,,0VYUYJG5J84N9XJHD,2,2024-12-12
300002,920000000000002,,,26T0LM1VGN3TD60L8,8,2022-06-03
300003,920000000000003,,,KX4VGJ4M6YNWBVU8K,6,2022-08-05
300004,920000000000004,,,9KC53CZ67DM9NVMV0,2,2022-04-10
300005,920000000000005,,,LZTME4SYDAAJ0XSBB,1,2026-01-04
300006,920000000000006,,,HA85CKEFXWZ5JRT34,6,2024-07-14
300007,920000000000007,,,26HB511VVVW1USPMD,3,2021-11-13
300008,920000000000008,,,REN1BVX6K3TG1HLZ3,1,2025-03-03
300009,920000000000009,,,EE32P7DVKY5NL9ZS4,5,2025-04-30
300010,920000000000010,,,T3VBAD2X039878AYK,1,2025-06-01
300011,920000000000011,,,YJ42WFV779KWWN85T,1,2023-07-23
300012,920000000000012,,,9ECKLE6T7SXS590FK,2,2021-11-02
300013,920000000000013,,,5PFPG390M79FMWU1H,1,2021-12-30
300014,920000000000014,,,PZNECJ4WXWXHYLLMF,1,2022-07-02
300015,920000000000015,,,W3YHWCWUK24KB71SD,2,2023-10-09
300016,920000000000016,,,06PZEL21E306K8D8R,2,2022-04-19
300017,920000000000017,,,JB3U2ZWJ7471S6CFT,7,2023-10-01
300018,920000000000018,,,G19VVZETKL04BS2TR,8,2023-08-02
300019,920000000000019,,,76261XSS0AW9ESW7Z,1,2025-05-17
300020,920000000000020,,,BFRFLZUV9PY9R96KS,1,2022-06-01
300021,920000000000021,,,RXB6HG1SE4915EXNG,2,2024-07-05
300022,920000000000022,,,P4FRFJM7DT35EVXUR,1,2025-03-05
300023,920000000000023,,,3BJJX5ZM7JFMPEGJZ,1,2021-12-27
300024,920000000000024,,,1YZ7ZVPYFE7M6GL6T,5,2024-02-24
300025,920000000000025,,,AXWT3T4RJPP7UNU9G,1,2024-03-17
300026,920000000000026,,,TREMVSSXFVPRFLSY0,1,2025-01-23
300027,920000000000027,,,GUPJ8XNFFJA1YJF8Y,2,2021-04-29
300028,920000000000028,,,M32F99JJD7173ECMG,1,2025-03-04
300029,920000000000029,,,V0LRTHCPNLAYCRJH2,1,2021-09-04
300030,920000000000030,,,2E5TRYBJL4GZS1U6K,3,2025-02-07
300031,920000000000031,,,S6B8E4U30M9FFCNG6,1,2025-12-19
300032,920000000000032,,,MVB1Y8DT83UBVPWHP,1,2024-09-05
300033,920000000000033,,,778BE8FM49HHJUVUC,2,2022-08-17
300034,920000000000034,,,L1KEC1SCMFPL37YKH,3,2026-03-20
300035,920000000000035,,,59RYWSP61Z8DWYN4D,1,2022-06-14
300036,920000000000036,,,5YTR3H9U334W3YV3T,1,2024-08-27
300037,920000000000037,,,ZS2SRG9A9BKJ29KDG,1,2026-06-25
300038,920000000000038,,,ME05DT53ADLTA364S,1,2025-02-08
300039,920000000000039,,,2AULLJW3ZPVV1UMC2,1,2023-06-11
300040,920000000000040,,,TVN5BJX6RV7JEA4SK,3,2024-11-12
300041,920000000000041,,,PL6E4JKN9E5ER9F1M,1,2022-11-01
300042,920000000000042,,,08K7XKB53YY3VXVKV,6,2023-08-23
300043,920000000000043,,,8H7728LW8NF348R3Z,1,2022-04-12
300044,920000000000044,,,HU67M19RGRNKSVGPE,1,2021-09-06
300045,920000000000045,,,XVSM2SFFBJ1ED28J1,1,2021-06-09
300046,920000000000046,,,7ELTKWCS8CBK089HH,1,2021-11-10
300047,920000000000047,,,4MHALD5CXA8HW4ZUU,8,2022-07-14
300048,920000000000048,,,M7Y4E6R5MP7NDL5CS,1,2025-03-08
300049,920000000000049,,,TYYSAJLRLX2UX0DS7,1,2023-11-04
300050,920000000000050,,,BBNKV0TA5HW6Y0HR6,1,2021-12-26
300051,920000000000051,,,A437VG1Z9FUEXU4Z8,2,2025-11-02
300052,920000000000052,,,Y6FV160JZJ46GGK45,3,2023-09-12
300053,920000000000053,,,ATF78BTGLLYDYCNDX,2,2024-05-25
300054,920000000000054,,,TR1X9XCB97GCE7HXF,1,2025-06-09
300055,920000000000055,,,JK1VAPRBVYTK3PT9B,2,2022-08-03
300056,920000000000056,,,UWKTNMXV8B88NCNLF,4,2025-06-22
