id_fascia,de_fascia,num_anni_da,num_anni_a,num_ordinamento
0,Non definita,0,0,
3,Da 10 a 15,10,15,3
4,Da 15 a 20,15,20,4
5,Da 20 a 25,20,25,5
6,Da 25 a 30,25,30,6
7,Da 30 a 35,30,35,7
8,Da 35 a 40,35,40,8
9,Da 40 a 45,40,45,9
10,Da 45 a 50,45,50,10
11,Da 50 a 55,50,55,11
12,Da 55 a 60,55,60,12
13,Da 60 a 65,60,65,13
14,Da 65 a 70,65,70,14
15,Da 70 a 75,70,75,15
16,Da 75 a 80,75,80,16
17,Da 80 a 85,80,85,17
18,Da 85 a 90,85,90,18
19,Da 90 a 95,90,95,19
20,Da 95 a 100,95,100,20
21,Più di 100,100,999,21
1,Da  0 a 4,0,5,1
2,Da  5 a 9,5,10,2
