c_id_comune,c_cod_sigla_provincia,c_cod_istat_comune,c_cod_mf_comune,c_de_comune,c_vl_inizio,c_vl_fine,c_dt_agg,c_fk_provincia,c_de_provincia,fk_comune,num_ordinamento
646,PD,028071,H622,ROVOLON,1900-01-01,4712-12-31,2000-05-12,49995,PADOVA,646,1
59396,VE,027024,F241,MIRANO,1900-01-01,4712-12-31,2000-05-12,7051,VENEZIA,59396,1
59527,RO,029016,C967,CONTARINA,1938-02-11,1994-12-31,2003-06-04,32970,ROVIGO,59527,1
58888,VI,024045,E138,GRANCONA,1900-01-01,2017-03-21,2017-05-17,58123,VICENZA,58888,1
58952,VI,024014,B132,BREGANZE,1900-01-01,4712-12-31,2000-05-12,58123,VICENZA,58952,1
48261,PD,028080,I207,SANTA GIUSTINA IN COLLE,1900-01-01,4712-12-31,2000-05-12,49995,PADOVA,48261,1
48328,PD,028048,F011,MASERA' DI PADOVA,1900-01-01,4712-12-31,2000-05-12,49995,PADOVA,48328,1
48389,PD,028017,B524,CAMPODARSEGO,1900-01-01,4712-12-31,2000-05-12,49995,PADOVA,48389,1
48522,VR,023089,L567,VALEGGIO SUL MINCIO,1900-01-01,4712-12-31,2000-05-12,15178,VERONA,48522,1
48523,TV,026060,G909,PORTOBUFFOLE',1900-01-01,2006-02-05,2006-02-06,24075,TREVISO,48523,1
47877,VR,023019,B886,CASALEONE,1900-01-01,4712-12-31,2000-05-12,15178,VERONA,47877,1
48137,VR,023054,F921,NOGAROLE ROCCA,1900-01-01,4712-12-31,2000-05-12,15178,VERONA,48137,1
48198,VR,023023,C370,CAVAION VERONESE,1900-01-01,4712-12-31,2000-05-12,15178,VERONA,48198,1
48199,TV,026056,G408,PEDEROBBA,1900-01-01,4712-12-31,2000-05-12,24075,TREVISO,48199,1
47561,PD,028041,D956,GAZZO,1900-01-01,4712-12-31,2000-05-12,49995,PADOVA,47561,1
47753,VR,023082,I821,SOMMACAMPAGNA,1900-01-01,4712-12-31,2000-05-12,15178,VERONA,47753,1
47819,TV,026084,L058,TARZO,1900-01-01,4712-12-31,2000-05-12,24075,TREVISO,47819,1
47049,VR,023043,E502,LAZISE,1900-01-01,4712-12-31,2000-05-12,15178,VERONA,47049,1
47111,VR,023012,B107,BOVOLONE,1900-01-01,4712-12-31,2000-05-12,15178,VERONA,47111,1
47112,TV,026045,F360,MONFUMO,1900-01-01,4712-12-31,2000-05-12,24075,TREVISO,47112,1
47171,TV,026014,C384,CAVASO DEL TOMBA,1900-01-01,4712-12-31,2000-05-12,24075,TREVISO,47171,1
